split,sample_index,base_boost_x,base_boost_y,delta_boost_x,delta_boost_y,delta_boost_norm,closure_residual_relative,closure_abs_l2,closure_reference_l2
test,0,0.09845811128616333,-0.02883857488632202,-0.0929645299911499,-0.4704112410545349,0.47950926423072815,5.357865120458882e-07,3.119987013633363e-05,58.23190689086914
test,9,0.43179851770401,0.2661048173904419,0.060950517654418945,-0.41382843255996704,0.4182928800582886,4.5965103367962e-07,2.7208205210627057e-05,59.19317626953125
test,24,0.1844252347946167,-0.014611899852752686,-0.07406729459762573,-0.01035076379776001,0.07478705048561096,3.281149076883594e-07,1.9207172954338603e-05,58.53794860839844
test,25,0.4768781065940857,0.3741510510444641,-0.16025209426879883,-0.14333206415176392,0.21499957144260406,3.7779659578518476e-07,2.2321737560559995e-05,59.084007263183594
test,34,0.4757588505744934,0.06498390436172485,-0.4266906976699829,-0.10160231590270996,0.43862053751945496,4.999197926736088e-07,2.926182423834689e-05,58.53303527832031
test,38,-0.020606279373168945,-0.09812754392623901,0.0579601526260376,-0.43065810203552246,0.43454086780548096,4.596617770857847e-07,2.7146998036187142e-05,59.05863571166992
test,45,0.22933882474899292,-0.06604254245758057,0.3769441246986389,-0.37267976999282837,0.5300726890563965,6.057432528905338e-07,3.5226814361521974e-05,58.15469741821289
test,47,0.22487396001815796,0.4749566316604614,-0.4451563358306885,0.0542682409286499,0.4484519958496094,5.151953814674926e-07,2.9722226827288978e-05,57.69117736816406
test,48,0.26159727573394775,-0.180539071559906,0.49934327602386475,0.08850914239883423,0.5071268081665039,5.214292855271196e-07,3.045687662961427e-05,58.41036605834961
test,51,-0.41796255111694336,-0.23981475830078125,0.11665606498718262,0.037651777267456055,0.12258178740739822,3.134983614927478e-07,1.8350663594901562e-05,58.535118103027344
test,54,-0.18777304887771606,0.13039225339889526,0.16521841287612915,-0.23152410984039307,0.28443020582199097,3.630948413047008e-07,2.1402309357654303e-05,58.944129943847656
test,65,-0.12634652853012085,0.14008861780166626,0.2206401228904724,-0.2033972144126892,0.30008745193481445,3.7986353618180146e-07,2.245540417789016e-05,59.11439895629883
test,68,-0.1447521448135376,-0.10996299982070923,-0.3969688415527344,0.05587935447692871,0.4008824825286865,3.881803820604546e-07,2.3351589334197342e-05,60.15654373168945
test,72,-0.4670976400375366,0.12008219957351685,0.49765676259994507,-0.02154773473739624,0.49812301993370056,4.793536731995118e-07,2.750577732513193e-05,57.3809700012207
test,85,-0.47729748487472534,0.024980664253234863,-0.10412049293518066,-0.45200014114379883,0.46383747458457947,4.849107995141821e-07,2.8325224775471725e-05,58.413265228271484
test,94,-0.367936372756958,-0.1926366686820984,-0.12937599420547485,0.18735897541046143,0.22768735885620117,3.6286155591369607e-07,2.101447716995608e-05,57.9132080078125
test,100,0.49178820848464966,0.05556058883666992,-0.3280564546585083,-0.3975967764854431,0.5154650807380676,5.253192512100213e-07,3.0664275982417166e-05,58.372650146484375
test,106,-0.3938276767730713,0.19556760787963867,-0.3804803490638733,-0.01467972993850708,0.380763441324234,5.004911258765787e-07,2.8752156140399165e-05,57.44788360595703
test,107,0.432026743888855,0.34182000160217285,0.492742657661438,-0.07844984531402588,0.4989486038684845,5.580746460509545e-07,3.2035179174272344e-05,57.403038024902344
test,109,-0.3332962393760681,0.31314581632614136,-0.08294570446014404,0.4300210475921631,0.4379476010799408,4.198330429971975e-07,2.5225795980077237e-05,60.085304260253906
test,138,-0.20849359035491943,-0.09515380859375,0.12880957126617432,-0.06524467468261719,0.1443910449743271,3.074206631481502e-07,1.825152685341891e-05,59.369876861572266
test,142,0.38918328285217285,0.155328631401062,-0.07885521650314331,0.18166661262512207,0.19804267585277557,3.5172777756997675e-07,2.0840088836848736e-05,59.2506217956543
test,159,0.13178610801696777,0.3930416703224182,0.3957090377807617,0.05801570415496826,0.39993932843208313,4.46629599082371e-07,2.643784500833135e-05,59.19411849975586
test,164,0.23990148305892944,-0.4895015358924866,0.31039220094680786,0.4923117756843567,0.5819916129112244,5.852738240719191e-07,3.4400916774757206e-05,58.77747344970703
test,167,-0.42295849323272705,-0.31383055448532104,-0.36901724338531494,-0.4841150641441345,0.6087208986282349,6.217787813511677e-07,3.597069007810205e-05,57.85126495361328
test,171,0.08475738763809204,-0.20662987232208252,0.12343794107437134,-0.4743858575820923,0.490182489156723,5.212385758568416e-07,3.045619814656675e-05,58.43043518066406
test,188,0.2048930525779724,-0.3574151396751404,0.19380468130111694,-0.30672264099121094,0.36282095313072205,4.381967642075324e-07,2.588723145890981e-05,59.07672882080078
test,189,-0.2110568881034851,-0.4094495177268982,0.0018833279609680176,0.4714552164077759,0.47145897150039673,4.3162805241081514e-07,2.5266577722504735e-05,58.53784942626953
test,193,-0.17885053157806396,0.062303364276885986,0.4778352975845337,0.2872392535209656,0.5575239658355713,5.772108124801889e-07,3.392645521671511e-05,58.77653884887695
test,226,0.30458301305770874,-0.2654069662094116,0.43404483795166016,0.2685222029685974,0.510391116142273,4.903347416984616e-07,2.9144812287995592e-05,59.438602447509766
test,227,0.02735680341720581,0.3433828353881836,-0.4764556288719177,0.33122628927230835,0.5802764892578125,5.304046339915658e-07,3.088214361923747e-05,58.2237434387207
test,234,0.1217573881149292,-0.3128387928009033,0.1636437177658081,-0.17732787132263184,0.2412974089384079,3.8752423847654427e-07,2.2357062334776856e-05,57.69203567504883
