artifact_type,paper_table,method,data_fraction,lambda_orbit,seed,severity,run_dir,checkpoint,config_hash,dataset_sha256,parameters,latency_ms_per_sample,complete,missing_files
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,23,boost_0.50,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_23,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,31,boost_0.50,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_31,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,47,boost_0.50,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_47,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,59,boost_0.50,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_59,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,71,boost_0.50,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_71,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,23,train_radius,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_23,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,31,train_radius,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_31,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,47,train_radius,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_47,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,59,train_radius,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_59,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_orbit_lambda_0.1_steps_4,0.02,0.1,71,train_radius,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_71,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,23,boost_0.10,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_23,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,31,boost_0.10,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_31,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,47,boost_0.10,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_47,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,59,boost_0.10,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_59,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,71,boost_0.10,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.10/aug_steps_6/seed_71,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,23,boost_0.20,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_23,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,31,boost_0.20,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_31,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,47,boost_0.20,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_47,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,59,boost_0.20,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_59,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,71,boost_0.20,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_71,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,,,,,True,
