"method","run_dir","seed","lambda_orbit","relative_l2","orbit_ood_relative_l2","equivariance_defect_relative","latency_ms_per_sample","best_val_relative_l2","parameters"
"baseline","runs\ablations\2d_full_four_method_ladder\baseline","31","","0.00488734358805232","0.00488811531977262","0.00119828822858992","10.9861537500365","0.00484221975784749","2668513"
"orbit","runs\ablations\2d_full_four_method_ladder\orbit","31","0.05","0.00489013094920665","0.00488832276460016","0.00119711943590772","11.9184199999836","0.00484041596064344","2668513"
"aug","runs\ablations\2d_full_aug_orbit_lambda\aug","31","","0.00368704105494544","0.00368629601871362","0.000901824951828445","11.8535365625121","0.00364473630907014","2668513"
"aug_orbit","runs\ablations\2d_full_aug_orbit_lambda\aug_orbit\lambda_0.05","31","0.05","0.00365264024003409","0.00364810510654934","0.000893135927302779","12.3899915624861","0.00359834090340883","2668513"
